FilePath,Label
output2/20240328_083752.csv,1
output2/20240328_083827.csv,1
output2/20240328_084627.csv,1
output2/20240328_084644.csv,1
output2/20240328_084703.csv,1
output2/20240328_084844.csv,1
output2/20240328_085027.csv,1
output2/20240328_085042.csv,1
output2/20240328_085120.csv,1
output2/20240328_085135.csv,0
output2/20240328_085258.csv,1
output2/20240328_085314.csv,1
output2/20240328_085328.csv,1
output2/20240328_085343.csv,1
output2/20240328_085811.csv,1
output2/20240328_085827.csv,1
output2/20240328_085842.csv,1
output2/20240328_085856.csv,1
output2/20240328_090020.csv,1
output2/20240328_090034.csv,1
output2/20240328_090047.csv,0
output2/20240328_090102.csv,0
output2/20240328_090116.csv,1
output2/20240328_090425.csv,0
output2/20240328_090909.csv,1
output2/20240328_090926.csv,1
output2/20240328_090940.csv,0
output2/20240328_090954.csv,0
output2/20240328_091008.csv,0
output2/20240328_091030.csv,1
output2/20240328_091044.csv,1
output2/20240328_091114.csv,1
output2/20240328_091129.csv,1
output2/20240328_091211.csv,0
output2/20240328_091225.csv,0
output2/20240328_091238.csv,1
output2/20240328_091253.csv,1
output2/20240328_091321.csv,1
output2/20240328_091336.csv,0
output2/20240328_091350.csv,1
output2/20240328_091406.csv,1
output2/20240328_091421.csv,1
output2/20240328_091436.csv,1
output2/20240328_091509.csv,0
output2/20240328_091524.csv,0
output2/20240328_091607.csv,0
output2/20240328_092242.csv,1
output2/20240328_092259.csv,0
output2/20240328_092346.csv,1
output2/20240328_092400.csv,1
output2/20240328_092415.csv,1
output2/20240328_092430.csv,1
output2/20240328_092550.csv,0
output2/20240328_092604.csv,1
output2/20240328_092620.csv,1
output2/20240328_092636.csv,1
output2/20240328_092651.csv,1
output2/20240328_092707.csv,0
output2/20240328_092721.csv,1
output2/20240328_092736.csv,1
output2/20240328_092753.csv,1
output2/20240328_092811.csv,1
output2/20240328_092825.csv,1
output2/20240328_092841.csv,1
output2/20240328_092856.csv,1
