FilePath,Label
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145617.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145722.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145800.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145812.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145830.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145841.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145909.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-145921.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-192943.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-192957.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193017.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193045.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193134.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193146.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193503.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193520.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193709.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193724.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193739.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193752.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193804.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193830.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193841.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193908.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193922.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193935.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-193948.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194001.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194017.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194057.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194111.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194123.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194147.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194653.csv,0
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194721.csv,1
/home/pi/prosthetic-intelligence/data/ping_pong/Sensor1_20240425-194732.csv,0
